weight,word
-9.607636506993567,worst
-7.875383181614687,awful
-7.4108455111255385,bad
-6.664552792303732,boring
-6.652512343538573,waste
-6.099068894787633,poor
-5.715091385116541,terrible
-5.1589728089397555,horrible
-5.104450145073571,worse
-5.071514559326119,dull
-4.946237144147831,poorly
-4.914985105291022,disappointment
-4.6970863812380275,fails
-4.469690224878791,annoying
-4.419521923014526,disappointing
